date,westerly,easterly
2013-06-19T00:00:00,0.345,0.655
2013-06-20T00:00:00,0.473,0.527
2013-06-21T00:00:00,1.0,0.0
2013-06-22T00:00:00,1.0,0.0
2013-06-23T00:00:00,1.0,0.0
2013-06-24T00:00:00,1.0,0.0
2013-06-25T00:00:00,1.0,0.0
2013-06-26T00:00:00,1.0,0.0
2013-06-27T00:00:00,1.0,0.0
2013-06-28T00:00:00,1.0,0.0
2013-06-29T00:00:00,1.0,0.0
2013-06-30T00:00:00,1.0,0.0
2013-07-01T00:00:00,1.0,0.0
2013-07-02T00:00:00,1.0,0.0
2013-07-03T00:00:00,1.0,0.0
2013-07-04T00:00:00,1.0,0.0
2013-07-05T00:00:00,0.236,0.764
2013-07-06T00:00:00,0.391,0.609
2013-07-07T00:00:00,0.0,1.0
2013-07-08T00:00:00,0.0,1.0
2013-07-09T00:00:00,0.0,1.0
2013-07-10T00:00:00,0.0,1.0
2013-07-11T00:00:00,0.0,1.0
2013-07-12T00:00:00,0.0,1.0
2013-07-13T00:00:00,0.984,0.016
2013-07-14T00:00:00,1.0,0.0
2013-07-15T00:00:00,1.0,0.0
2013-07-16T00:00:00,1.0,0.0
2013-07-17T00:00:00,0.531,0.469
2013-07-18T00:00:00,0.0,1.0
2013-07-19T00:00:00,0.0,1.0
2013-07-20T00:00:00,0.0,1.0
2013-07-21T00:00:00,0.0,1.0
2013-07-22T00:00:00,0.467,0.533
2013-07-23T00:00:00,0.99,0.01
2013-07-24T00:00:00,1.0,0.0
2013-07-25T00:00:00,1.0,0.0
2013-07-26T00:00:00,1.0,0.0
2013-07-27T00:00:00,0.075,0.925
2013-07-28T00:00:00,1.0,0.0
2013-07-29T00:00:00,1.0,0.0
2013-07-30T00:00:00,1.0,0.0
2013-07-31T00:00:00,1.0,0.0
2013-08-01T00:00:00,0.309,0.691
2013-08-02T00:00:00,1.0,0.0
2013-08-03T00:00:00,1.0,0.0
2013-08-04T00:00:00,1.0,0.0
2013-08-05T00:00:00,1.0,0.0
2013-08-06T00:00:00,0.879,0.121
2013-08-07T00:00:00,0.0,1.0
2013-08-08T00:00:00,1.0,0.0
2013-08-09T00:00:00,1.0,0.0
2013-08-10T00:00:00,1.0,0.0
2013-08-11T00:00:00,1.0,0.0
2013-08-12T00:00:00,1.0,0.0
2013-08-13T00:00:00,1.0,0.0
2013-08-14T00:00:00,1.0,0.0
2013-08-15T00:00:00,1.0,0.0
2013-08-16T00:00:00,1.0,0.0
2013-08-17T00:00:00,1.0,0.0
2013-08-18T00:00:00,1.0,0.0
2013-08-19T00:00:00,1.0,0.0
2013-08-20T00:00:00,1.0,0.0
2013-08-21T00:00:00,1.0,0.0
2013-08-22T00:00:00,0.53,0.47
2013-08-23T00:00:00,0.0,1.0
2013-08-24T00:00:00,1.0,0.0
2013-08-25T00:00:00,0.5,0.5
2013-08-26T00:00:00,0.191,0.809
2013-08-27T00:00:00,1.0,0.0
2013-08-28T00:00:00,1.0,0.0
2013-08-29T00:00:00,1.0,0.0
2013-08-30T00:00:00,1.0,0.0
2013-08-31T00:00:00,1.0,0.0
2013-09-01T00:00:00,1.0,0.0
2013-09-02T00:00:00,1.0,0.0
2013-09-03T00:00:00,1.0,0.0
2013-09-04T00:00:00,0.004,0.996
2013-09-05T00:00:00,1.0,0.0
2013-09-06T00:00:00,1.0,0.0
2013-09-07T00:00:00,1.0,0.0
2013-09-08T00:00:00,1.0,0.0
2013-09-09T00:00:00,0.763,0.237
2013-09-10T00:00:00,1.0,0.0
2013-09-11T00:00:00,1.0,0.0
2013-09-12T00:00:00,1.0,0.0
2013-09-13T00:00:00,0.768,0.232
2013-09-14T00:00:00,1.0,0.0
2013-09-15T00:00:00,1.0,0.0
2013-09-16T00:00:00,1.0,0.0
2013-09-17T00:00:00,1.0,0.0
2013-09-18T00:00:00,1.0,0.0
2013-09-19T00:00:00,1.0,0.0
2013-09-20T00:00:00,1.0,0.0
2013-09-21T00:00:00,1.0,0.0
2013-09-22T00:00:00,1.0,0.0
2013-09-23T00:00:00,0.525,0.475
2013-09-24T00:00:00,0.871,0.129
2013-09-25T00:00:00,0.91,0.09
2013-09-26T00:00:00,0.0,1.0
2013-09-27T00:00:00,0.0,1.0
2013-09-28T00:00:00,0.0,1.0
2013-09-29T00:00:00,0.0,1.0
2013-09-30T00:00:00,0.0,1.0
2013-10-01T00:00:00,0.0,1.0
2013-10-02T00:00:00,0.0,1.0
2013-10-03T00:00:00,0.0,1.0
2013-10-04T00:00:00,1.0,0.0
2013-10-05T00:00:00,1.0,0.0
2013-10-06T00:00:00,1.0,0.0
2013-10-07T00:00:00,1.0,0.0
2013-10-08T00:00:00,1.0,0.0
2013-10-09T00:00:00,1.0,0.0
2013-10-10T00:00:00,1.0,0.0
2013-10-11T00:00:00,0.001,0.999
2013-10-12T00:00:00,0.297,0.703
2013-10-13T00:00:00,1.0,0.0
2013-10-14T00:00:00,1.0,0.0
2013-10-15T00:00:00,1.0,0.0
2013-10-16T00:00:00,0.484,0.516
2013-10-17T00:00:00,1.0,0.0
2013-10-18T00:00:00,0.005,0.995
2013-10-19T00:00:00,1.0,0.0
2013-10-20T00:00:00,1.0,0.0
2013-10-21T00:00:00,1.0,0.0
2013-10-22T00:00:00,1.0,0.0
2013-10-23T00:00:00,1.0,0.0
2013-10-24T00:00:00,0.293,0.707
2013-10-25T00:00:00,0.862,0.138
